;; type: C	agents: 10	tasks: 100	objectives: 1	slack: 1	corrfrac: 0	corrcoef: 0

10 100 1

147 136 142 158 153 145 156 143 135 142 

   5  23  22  15   5  19  24  19  13  13  17  11   9  17   5  13  20   9  18   9  13  13  18  12  23  19  19  12   9   9  17  18   8  19  15  11  16  17  18  20  24  21  24   8   6   6  21  12  21  24  23  20  13  10  10  14  17  22   6  23  10  10  16   6  21   9  14  11  24  20  13   5  24   7  20  13  15   7   5  11  19  17  19  20  18  23   7   7   9  23   7   8  20  17  11  14  22  19  16   5
  15  12  11  19  18   8  14  24  13   8  22  11  14  23   8   9  18  16  16  16  15  17  17  15  16  13  10  14  18  11  19  15  16  16  15   7  14   5  14  15   9   5   7  23  15  16  22   9   8   9  10  10   7  16   6  23  15   6  17   7  16   6  23  11   9   8  10   8  20  10  18   7   7  19   6  14   9  22  22  24  13  22  17  17  11  18  20  16  13   9  21   7  12  13  17   8  10  18   7   7
  11  17  22  11  14  12  17  15   5   5  24  24  16  13   7   5  14  14  18  18  10  15   6  11  13  21  13   6  12   7   7  10  12   5  13  12  17  19  13  10  23  16  18  16  16  15   7   7   7  22  17  18  14  16  19   9  14  10  23  11  12   5  17  21  23  20  17  16   6  23  20   7  19  15   7  21  12   9  10   9  13  24  21  22   5  18  12  17  23  11   9  19  15  20  12  11  12  15  22  21
  18  20  18   7  21  22   5  18  17   8  14   6  19  18   6  16  18  20  18  23   8  19  22  23  21  23  11   6  24  21  20  11   7  16  11  14  15  21  23  21  24  18  23  11  14  18  16  16  21   9  23  20  19  21  12  23  15  20  14  22   6  11   8   5   5  21  23  23  23  21   7  11  23  22  22   5   5  14   6  14  12  18  14  14  22  24  19  14  10  18  19  19  14   6  13  22  18  10   8   9
  15  16  17   5   6  21  18  11  11  17  14  24  14  24  21  11  16  18   6  11  19  19  14  19  21  19  13   9  19  22  22  10  16   9   7  21  15  24  21  19  20  22  12   6  21  12  24  21  17  14   9  16  11  16  17  18  10  20  10   9  18  19  15   7  18  14  23  21  16   9  14  16  16  24  21   6  18  24   8  10  10  21   8  22  24  22  21   7  12   6  23  17  17   9   7  13   5   5   5  24
  20  17  24  16  22  21  19  11  20  19  16  20  20  19  10  20  18  18   6   5   7  19  23  14  11  13  12   5  16  17  14  22   5  12   9  21  24   7   9  20  11   6  24  20  14  13  17  14  12   6  12  22  13  21  24   8   6   6  20  18  20   7  12  20  17   8  11   7  18   7  21  14  18  19  14  12  16  24  23  10  16   5  14  10   6  11  17  12  20  16  13   5  22   7   5  16  10   9  21  10
  18  15  13  22  24  11  18  23  23  21  23  14  22  10   7  23  20  15  16  12  22  12  18  22   6  17  19  20  15  12  20  15  23   7  20  20  14   9   8  19  13   9  12  12  10  14  23  20  16   7  14  23  23  15  21  24  13  14  15   9  19  11  20  17   8  14  14   8  19  14  24   5  19   8  11  13  15  21   8  13   7  14   9  18  18  15  22  14  11  18  23  17  20  18   8  18  24   6  23   6
  19  19  12  20   6  16  14  16  19   6   7  14  16  17  11  15  12  18  15  18  14  16  18  21  15  20  10  21  10  13  19  11  14  15   9  21  17  18  18  23  11  14   7  23  11  15  13  15  15  11   6  14  10   8   8  13   6  15  18  21  17  22  23  19  23   5  20  12  22  10  20  11  13  22  17  15   5   6  10   9  10  15   9  10  14   8  11  20   5  14   9  23  23  21  10  16   8  10  11  22
  16   9  13  23   6  22  21  14  15  21  18   7  14  12  20  21  18  23  16   5   9   5   6   7  10  17   5   8   6  14   8  13  18  12   7   6   7  19   9  14   9  22   7   6  13  15  12   8  16  17  21  23   7  15  10  15  18  13   5  13  24  19  21   8  13  19  24  13  19   9  13  22  14   6  16   8  10  24   6  12  12   9  17  10  15  18  18  18  15  10   9   9   5  15  13   6  24  20  13  24
  20  19  16  24  13  17  17  23  23  14  23  12  16  21  18  12  16  24  11   5  10   9  20  19   7  12  24  22   9   7  18  13   8  21   8   8  16  16  18   5  13   5   9  19  18   5  17  17   8  23  15  11   9   6  14  17   6   6  21  11  10  17  19   7  23   5  16  17  17  24  13  17  22   6  15  24  12  16  14  13  22   9   6  14  19   9  12  12   7   9   7   8  13  11  18  12  12  23  20  10

  25  34  24  28  44  46  22  43  21  24  43  18  14  15  21  12  18  41  49  46  31  17  15  29  27  46  29  10  44  34  30  11  34  29  39  25  33  24  27  36  40  20  15  40  21  21  21  10  40  46  32  45  34  15  20  19  45  41  27  14  49  20  46  18  16  36  23  21  12  21  27  30  24  35  30  39  33  35  25  49  12  45  48  33  32  38  19  17  44  42  20  33  40  22  48  13  27  34  11  34
