;; type: E	agents: 10	tasks: 100	objectives: 1	slack: 1.2	corrfrac: 0	corrcoef: 0

10 100 1

119 108 113 115 124 117 127 116 141 120 

   4   5   3   8   9   4   1   3   4   1  35   3  11   6   2   9  17  10   3   3   3   8   7   4   2   7   1  16   5   9  19   2  23  26  12   4  10   4  17   5  14  66  13  15  23   5  18   8   2  16   1  12   1   2  29  20   8  12   2  17  19   5  17   2   5  10   9   9  31   6  18   4   2  20  21  12   3  18   2   8  11  30  11   7   1   3   1   3   3   5  12  11   4  17  33   2   1   3   9   1
  13  15  17  17   3   2   4   4   1   5   1   9   2   2   4  17   5   5   9  16   2   3  20   2   8   5   8   2  13   5  12   1  14   6   1   1   8   3   9   2   8  30   4   6  10  10  14   7   4   1   2  27  16   1   6  21   7   7   8   6   4  11  26  20  17   9  45  12   6  15   5   3   3   4   8   4   4  18   2  18   1  16   2  13   5  24  29  17  19   5   1   4   1   4   9   6  25   4   8   6
  22   1  32   6  18   8   5   6  10   6   4  16   1   1  19   4   2   7   5   9  12  17   2   4  13   6   8   9   7   2  15  12   6   6   7   9  10   7   5   1   7  14   6   3   3   5  13   5   9  15   2   1   3   7  19   3   8  24  12   2  19   6  15   5   5  21  12   4  20   1   1   1  18  10   2   8  19   7   4  11  14   5   7   2  26  10   9   2  22  24   8  19   3   1  25  24   2  28  18   4
   3   4  10   6  29   5   2  26  11   3  23   3  15   1   4   3   3   2  38  49  11  11  26  31   3   3   3   1   8  15   6  16  19   7  10   1   9  29   6   8   6   2   2   1   2  10   8   3   9   1   4   3   8  37   6   3  12  11   5   2   8  10   7  14  19  12  38   9   4   5  11   4   7   9  17   2   7  15   1   6  33   5  10  12   2  21   2   3  21   4   7   1   2   4   1   3   4  21   1   4
   9  28  41   4   2   4  25  14  11   4   2  28  13   6   2   5   8   1   1   2  13   3   4   7   1  19  13  11  10  11   8   2   5   7   2   3  52  20  24   5   1   1  19   9  11   4   2  27   7  22  32   1   4  11   6  15  25  25   9  25   1  30   4  48   6  12   2   2   5   3   4   6   1   2   5   9  17   3  18   5  21   2   2   9  22   3   2  24   6  14   6   1  11   7   3   1  22   4   1   6
   9   6   2   3   4   3   3   6  60  20   1   1  10   5   8  22  17  18  11   1   4   8   3  11   3  15  30   2  18   1   8   9   9   5   5  24  18   4   2  36  19  11  12   5   1  10   1  19   5   7   9  24   4  14   2   5   7   5   5   6   4  11   5   1   2   8  13   5  26   7   4  20   3   3  16  10  17  29  21  15   1   3   7  42  12  14   8   1   2  11  21   2   3   2   1   2   8  21   2   4
   6   6  11   2  48  25   4  23   1  10  19  11  22  21  17   1   1   3  19  11   8   7   1   7   3   3   2   6   3  21   6   2   7   8   1   5   9  10  13   4  18  18  23   4  24  13   7  24  15   3   7   2   8  17   1   1  22  13   4  25   4   1  22  16   4  15  44  14   7   1   7   3  19   3  10   2  28   9   7   8   1   3   2   3   3  18   6   4  28   6   1  36   9   7  26  14  19   7   5   2
  23   1   8   8   3   5  13  10   6  11   8   6   8  10  15  13   4  26   4   8   2   3  21   1  19  11   2  12  10   5  26   4  15   2  30   3  16   1  31  12   2   3   5  16  12   4   1  14   4   7   3  12   3   5  22   3  16   6   2   6   7   5   3   6   1  15   3  13  26  18  10   6  12   1   9   2   2  37   1   1  29   6   1   1   2  16  11  16   1  34  14  18  33  11   5   7   5  12   6   3
   7  13  13   9   8   2  41  13   3   3   7   1   8  17   1   2  18   2   6   1   8   5   6  18   6   3  18  16   1  11  21   3  22   1  14   3  21  16  18  15  10   4  42  10   6   5  25   3  25  17  35  21  27  18  13   5  15  47   4   1  14   5  26   9   9  13   2  14  12   7   3  10  29  25   4   1   2  17   2  14   6  35   5  42  14  15   4   7   6   8   5   4   1  10  16   4  14   9  17   1
  24   1   6   7   2  28  11   5  11   2  17   6   6  33   4  27   3  18   7  14  18   5   9  20   5  12  38   6  22  10   1  13  24  32   3   4  10  33  12  19   1  11   5   6  18  14   2   3   9  18  10  13   8   2   2   4   3   4   2   2  22   4   4  23  14  19   5  18   3  14   9   3   2   2   6   1   1   1   6   8   6   6  12  35   2   8   4   4   9  12  14   2  11   5   9  18   3   2   2   9

 244 197 326 121 105 242 999 330 248 997  26 327  80 163 499 106  57  94 327 330 331 122 135 249 497 137 993  59 195 108  43 499  41  29  73 242  99 240  50 195  61  11  69  64  36 191  46 119 492  55 999  80 991 490  26  43 119  76 497  49  43 190  53 495 199  90 102 101  30 160  51 242 498  49  44  76 330  55 490 124  82  26  82 132 993 326 999 329 330 190  82  81 249  56  22 494 996 326 101 994
  76  65  53  53 325 494 249 246 999 191 996 109 495 494 243  49 192 193 109  58 490 330  46 494 116 191 115 499  73 192  77 991  65 157 995 990 117 326 102 497 123  31 246 165  91  96  65 137 248 997 493  34  53 997 157  38 136 139 121 160 242  86  37  42  50 108  16  78 163  66 190 327 323 245 115 243 248  52 499  55 991  56 491  74 193  35  32  53  52 199 999 240 992 242 105 161  34 247 120 164
  42 998  27 159  54 115 199 158  94 163 244  55 999 996  44 240 499 137 190 104  75  57 492 242  68 165 123 105 133 494  59  81 159 160 137 104  94 133 193 993 136  70 156 325 330 196  70 198 110  64 493 990 332 137  48 329 121  32  80 499  45 163  60 192 199  41  78 245  45 991 997 999  45  90 494 122  49 136 242  88  66 190 135 495  34  93 104 493  43  39 123  49 331 992  39  40 492  29  51 241
 328 246  99 158  27 195 496  34  86 328  35 326  57 991 240 324 333 499  16  18  87  89  34  29 332 331 329 993 119  57 158  59  44 135  98 998 105  26 157 116 158 493 499 993 494  92 124 326 105 997 241 328 122  22 159 327  76  87 192 497 120  91 137  65  43  74  25 109 241 193  86 249 140 104  57 490 140  64 994 163  24 199  99  79 499  47 490 326  45 249 134 994 493 249 992 328 248  43 999 249
